"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2023-05-22,7303.73143569663,63.5929803803415,63.5929803803415,63.5929803803415,63.5929803803415,63.5929803803415,63.5929803803415,0,0,0,7213.48058085426,7512.88685137626,7303.73143569663,7303.73143569663,7367.32441607697
2023-05-23,7302.63041648079,59.1254437441675,59.1254437441675,59.1254437441675,59.1254437441675,59.1254437441675,59.1254437441675,0,0,0,7214.4552940422,7511.73555216877,7302.63041648079,7302.63041648079,7361.75586022496
2023-05-24,7301.52939726495,48.4388130526406,48.4388130526406,48.4388130526406,48.4388130526406,48.4388130526406,48.4388130526406,0,0,0,7204.70388355425,7510.59460587363,7301.52939726495,7301.52939726495,7349.96821031759
2023-05-25,7300.42837804911,54.6041802058836,54.6041802058836,54.6041802058836,54.6041802058836,54.6041802058836,54.6041802058836,0,0,0,7208.88918821499,7501.99148748869,7300.42837804911,7300.42837804911,7355.03255825499
2023-05-26,7299.32735883327,62.1031021950027,62.1031021950027,62.1031021950027,62.1031021950027,62.1031021950027,62.1031021950027,0,0,0,7222.95006152626,7509.2595213096,7299.32735883327,7299.32735883327,7361.43046102827
2023-05-29,7296.02430118575,63.5929803803399,63.5929803803399,63.5929803803399,63.5929803803399,63.5929803803399,63.5929803803399,0,0,0,7208.41531287997,7509.18179225572,7296.02430118575,7296.02430118575,7359.61728156609
2023-05-30,7294.92328196991,59.1254437442829,59.1254437442829,59.1254437442829,59.1254437442829,59.1254437442829,59.1254437442829,0,0,0,7209.92972911762,7507.67198390219,7294.92328196991,7294.92328196991,7354.04872571419
2023-05-31,7293.82226275407,48.4388130526516,48.4388130526516,48.4388130526516,48.4388130526516,48.4388130526516,48.4388130526516,0,0,0,7189.42552884249,7493.7493874517,7293.82226275407,7293.82226275407,7342.26107580672
2023-06-01,7292.72124353823,54.6041802059486,54.6041802059486,54.6041802059486,54.6041802059486,54.6041802059486,54.6041802059486,0,0,0,7189.84902121878,7493.03594606896,7292.72124353823,7292.72124353823,7347.32542374418
2023-06-02,7291.62022432239,62.103102194863,62.103102194863,62.103102194863,62.103102194863,62.103102194863,62.103102194863,0,0,0,7202.1659930434,7509.18640559345,7291.62022432239,7291.62022432239,7353.72332651725
2023-06-05,7288.31716667487,63.5929803806277,63.5929803806277,63.5929803806277,63.5929803806277,63.5929803806277,63.5929803806277,0,0,0,7200.88861359065,7498.75878242386,7288.31716667487,7288.31716667487,7351.9101470555
2023-06-06,7287.21614745903,59.1254437442979,59.1254437442979,59.1254437442979,59.1254437442979,59.1254437442979,59.1254437442979,0,0,0,7197.87401912229,7509.03422504568,7287.21614745903,7287.21614745903,7346.34159120333
