"Date","Ouverture","DayOfYear","Year"
2024-03-18,8175.98,78,"2024"
2024-03-19,8145.5,79,"2024"
2024-03-20,8149.71,80,"2024"
2024-03-21,8228.71,81,"2024"
2024-03-22,8149.23,82,"2024"
2024-03-25,8147.8,85,"2024"
2024-03-26,8160.64,86,"2024"
2024-03-27,8186.07,87,"2024"
2024-03-28,8216.77,88,"2024"
2024-03-29,8180.818,89,"2024"
2024-04-01,8179.77966666667,92,"2024"
2024-04-02,8195.65,93,"2024"
2024-04-03,8144.96,94,"2024"
2024-04-04,8154.41,95,"2024"
2024-04-05,8050.25,96,"2024"
2024-04-08,8050.02,99,"2024"
2024-04-09,8090.47,100,"2024"
2024-04-10,8101.04,101,"2024"
2024-04-11,8048.16,102,"2024"
2024-04-12,8092.45,103,"2024"
2024-04-15,8051.26,106,"2024"
2024-04-16,7899.36,107,"2024"
2024-04-17,7958.52,108,"2024"
2024-04-18,8013.91,109,"2024"
2024-04-19,7971.68,110,"2024"
2024-04-22,8068.14,113,"2024"
2024-04-23,8064.32,114,"2024"
2024-04-24,8105.22,115,"2024"
2024-04-25,8094.55,116,"2024"
2024-04-26,8072.23,117,"2024"
2024-04-29,8116.43,120,"2024"
2024-04-30,8073.64,121,"2024"
2024-05-01,8022.67333333333,122,"2024"
2024-05-02,7954.01,123,"2024"
2024-05-03,7943.87,124,"2024"
2024-05-06,7975.86,127,"2024"
2024-05-07,8036.75,128,"2024"
2024-05-08,8093.62,129,"2024"
2024-05-09,8123.92,130,"2024"
2024-05-10,8232.65,131,"2024"
2024-05-13,8211.07,134,"2024"
2024-05-14,8213.81,135,"2024"
2024-05-15,8241.68,136,"2024"
2024-05-16,8239.77,137,"2024"
2024-05-17,8176.79,138,"2024"
2024-05-20,8178.63,141,"2024"
2024-05-21,8163.17,142,"2024"
2024-05-22,8128.58,143,"2024"
2024-05-23,8104.31,144,"2024"
2024-05-24,8053.79,145,"2024"
2024-05-27,8088.34,148,"2024"
2024-05-28,8134.72,149,"2024"
2024-05-29,8033.56,150,"2024"
2024-05-30,7914.85,151,"2024"
2024-05-31,7972.55,152,"2024"
2024-06-03,8069.62,155,"2024"
2024-06-04,7974.44,156,"2024"
2024-06-05,7983.03,157,"2024"
2024-06-06,8044.29,158,"2024"
2024-06-07,8046.92,159,"2024"
2024-06-10,7812.52,162,"2024"
2024-06-11,7921.09,163,"2024"
2024-06-12,7813.77,164,"2024"
2024-06-13,7855.37,165,"2024"
2024-06-14,7685.5,166,"2024"
2024-06-17,7539.03,169,"2024"
2024-06-18,7636.69,170,"2024"
2024-06-19,7617.35,171,"2024"
2024-06-20,7585.98,172,"2024"
2024-06-21,7653.14,173,"2024"
2024-06-24,7633.99,176,"2024"
2024-06-25,7648.14,177,"2024"
2024-06-26,7703.8,178,"2024"
